party,word,frequency,polarity
Νέα Δημοκρατία,καλ,88622,positive
Νέα Δημοκρατία,ευχαριστ,72795,positive
Νέα Δημοκρατία,θελ,68928,positive
Νέα Δημοκρατία,λε,63877,positive
Νέα Δημοκρατία,δ,52338,positive
Νέα Δημοκρατία,σχετικ,42244,positive
Νέα Δημοκρατία,ανθρωπ,34363,positive
Νέα Δημοκρατία,λεπτ,33189,positive
Νέα Δημοκρατία,δυνατ,27345,positive
Νέα Δημοκρατία,προβλεπ,25545,positive
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,καλ,73143,positive
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,θελ,69605,positive
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,λε,58872,positive
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,ευχαριστ,56964,positive
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,δ,52212,positive
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,σχετικ,40073,positive
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,ανθρωπ,32975,positive
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,λεπτ,31040,positive
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,δυνατ,23949,positive
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,προβλεπ,22826,positive
Συνασπισμός Ριζοσπαστικής Αριστεράς,ευχαριστ,32938,positive
Συνασπισμός Ριζοσπαστικής Αριστεράς,λε,27069,positive
Συνασπισμός Ριζοσπαστικής Αριστεράς,καλ,26593,positive
Συνασπισμός Ριζοσπαστικής Αριστεράς,θελ,23991,positive
Συνασπισμός Ριζοσπαστικής Αριστεράς,ανθρωπ,20121,positive
Συνασπισμός Ριζοσπαστικής Αριστεράς,δ,16814,positive
Συνασπισμός Ριζοσπαστικής Αριστεράς,λεπτ,16780,positive
Συνασπισμός Ριζοσπαστικής Αριστεράς,σχετικ,13671,positive
Συνασπισμός Ριζοσπαστικής Αριστεράς,απλ,8704,positive
Συνασπισμός Ριζοσπαστικής Αριστεράς,ας,8021,positive
Κομμουνιστικό Κόμμα Ελλάδας,λε,19161,positive
Κομμουνιστικό Κόμμα Ελλάδας,καλ,16934,positive
Κομμουνιστικό Κόμμα Ελλάδας,ευχαριστ,15507,positive
Κομμουνιστικό Κόμμα Ελλάδας,θελ,11215,positive
Κομμουνιστικό Κόμμα Ελλάδας,δ,10245,positive
Κομμουνιστικό Κόμμα Ελλάδας,ανθρωπ,9477,positive
Κομμουνιστικό Κόμμα Ελλάδας,ταξ,7772,positive
Κομμουνιστικό Κόμμα Ελλάδας,σχετικ,6500,positive
Κομμουνιστικό Κόμμα Ελλάδας,ας,5457,positive
Κομμουνιστικό Κόμμα Ελλάδας,ασφαλει,5135,positive
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,λε,3471,positive
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,καλ,3307,positive
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ευχαριστ,3201,positive
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ανθρωπ,2479,positive
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,δ,2187,positive
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,θελ,2093,positive
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,σχετικ,1919,positive
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,απλ,1532,positive
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ημερ,1259,positive
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ας,1257,positive
